x_in,y_in
4.086511,-0.825547
4.090488,-0.824628
4.094461,-0.823707
4.098429,-0.822783
4.102392,-0.821857
4.106351,-0.820927
4.110304,-0.819995
4.114253,-0.819060
4.118196,-0.818123
4.122135,-0.817182
4.126069,-0.816239
4.129998,-0.815293
4.133922,-0.814345
4.137841,-0.813393
4.141755,-0.812439
4.145664,-0.811483
4.149568,-0.810523
4.153467,-0.809561
4.157361,-0.808596
4.161249,-0.807628
4.165133,-0.806658
4.169011,-0.805684
4.172885,-0.804709
4.176753,-0.803730
4.180616,-0.802749
4.184473,-0.801765
4.188326,-0.800778
4.192173,-0.799788
4.196015,-0.798796
4.199852,-0.797801
4.203683,-0.796804
4.207509,-0.795803
4.211330,-0.794800
4.215145,-0.793794
4.218955,-0.792786
4.222760,-0.791775
4.226559,-0.790761
4.230353,-0.789744
4.234142,-0.788725
4.237925,-0.787702
4.241703,-0.786678
4.245475,-0.785650
4.249242,-0.784620
4.253004,-0.783587
4.256760,-0.782551
4.260510,-0.781513
4.264255,-0.780471
4.267995,-0.779427
4.271729,-0.778381
4.275458,-0.777331
4.279181,-0.776279
4.282898,-0.775224
4.286610,-0.774166
4.290317,-0.773106
4.294018,-0.772043
4.297714,-0.770977
4.301404,-0.769908
4.305088,-0.768837
4.308767,-0.767762
4.312440,-0.766685
4.316108,-0.765605
4.319771,-0.764523
4.323427,-0.763437
4.327079,-0.762349
4.330724,-0.761258
4.334365,-0.760164
4.337999,-0.759068
4.341628,-0.757968
4.345252,-0.756866
4.348870,-0.755761
4.352482,-0.754653
4.356089,-0.753542
4.359690,-0.752428
4.363286,-0.751312
4.366876,-0.750193
4.370461,-0.749070
4.374040,-0.747945
4.377614,-0.746817
4.381182,-0.745686
4.384745,-0.744553
4.388302,-0.743416
4.391853,-0.742276
4.395399,-0.741134
4.398940,-0.739988
4.402475,-0.738840
4.406005,-0.737689
4.409529,-0.736535
4.413048,-0.735377
4.416561,-0.734217
4.420069,-0.733054
4.423572,-0.731888
4.427069,-0.730719
4.430560,-0.729547
4.434046,-0.728372
4.437527,-0.727194
4.441003,-0.726012
4.444473,-0.724828
4.447937,-0.723641
4.451397,-0.722451
4.454851,-0.721258
4.458300,-0.720061
4.461743,-0.718862
4.465181,-0.717659
4.468614,-0.716454
4.472042,-0.715245
4.475464,-0.714033
4.478881,-0.712818
4.482293,-0.711600
4.485700,-0.710379
4.489101,-0.709155
4.492497,-0.707927
4.495889,-0.706696
4.499275,-0.705463
4.502656,-0.704226
4.506031,-0.702985
4.509402,-0.701742
4.512768,-0.700495
4.516128,-0.699245
4.519484,-0.697992
4.522835,-0.696736
4.526180,-0.695476
4.529521,-0.694213
4.532856,-0.692947
4.536187,-0.691678
4.539513,-0.690405
4.542834,-0.689129
4.546150,-0.687850
4.549461,-0.686567
4.552768,-0.685281
4.556069,-0.683991
4.559366,-0.682699
4.562658,-0.681403
4.565945,-0.680103
4.569228,-0.678800
4.572506,-0.677494
4.575779,-0.676184
4.579047,-0.674871
4.582311,-0.673555
4.585571,-0.672235
4.588825,-0.670912
4.592076,-0.669585
4.595321,-0.668255
4.598563,-0.666921
4.601799,-0.665584
4.605032,-0.664243
4.608259,-0.662899
4.611483,-0.661551
4.614702,-0.660200
4.617917,-0.658845
4.621127,-0.657486
4.624333,-0.656125
4.627535,-0.654759
4.630732,-0.653390
4.633926,-0.652017
4.637115,-0.650641
4.640300,-0.649261
4.643481,-0.647878
4.646658,-0.646491
4.649830,-0.645100
4.652999,-0.643706
4.656164,-0.642308
4.659324,-0.640907
4.662481,-0.639501
4.665634,-0.638092
4.668782,-0.636680
4.671927,-0.635264
4.675068,-0.633844
4.678206,-0.632420
4.681339,-0.630993
4.684469,-0.629561
4.687595,-0.628127
4.690717,-0.626688
4.693835,-0.625246
4.696950,-0.623800
4.700061,-0.622350
4.703169,-0.620896
4.706273,-0.619439
4.709374,-0.617978
4.712471,-0.616513
4.715565,-0.615044
4.718655,-0.613571
4.721741,-0.612095
4.724825,-0.610615
4.727905,-0.609131
4.730982,-0.607643
4.734055,-0.606151
4.737125,-0.604655
4.740192,-0.603156
4.743256,-0.601653
4.746316,-0.600146
4.749374,-0.598634
4.752428,-0.597120
4.755479,-0.595601
4.758528,-0.594078
4.761573,-0.592551
4.764615,-0.591021
4.767654,-0.589486
4.770690,-0.587948
4.773724,-0.586406
4.776754,-0.584860
4.779782,-0.583309
4.782807,-0.581755
4.785829,-0.580197
4.788848,-0.578635
4.791865,-0.577069
4.794879,-0.575500
4.797890,-0.573926
4.800899,-0.572348
4.803905,-0.570766
4.806908,-0.569180
4.809909,-0.567591
4.812908,-0.565997
4.815904,-0.564399
4.818897,-0.562798
4.821888,-0.561192
4.824877,-0.559583
4.827863,-0.557969
4.830847,-0.556351
4.833829,-0.554730
4.836808,-0.553104
4.839785,-0.551475
4.842760,-0.549841
4.845733,-0.548204
4.848703,-0.546562
4.851672,-0.544916
4.854638,-0.543267
4.857602,-0.541613
4.860564,-0.539955
4.863525,-0.538294
4.866483,-0.536628
4.869439,-0.534958
4.872393,-0.533285
4.875346,-0.531607
4.878296,-0.529925
4.881245,-0.528239
4.884192,-0.526549
4.887137,-0.524855
4.890080,-0.523157
4.893022,-0.521455
4.895961,-0.519749
4.898900,-0.518039
4.901836,-0.516325
4.904771,-0.514607
4.907704,-0.512885
4.910636,-0.511158
4.913566,-0.509428
4.916495,-0.507694
4.919422,-0.505955
4.922348,-0.504213
4.925272,-0.502467
4.928195,-0.500716
4.931117,-0.498961
4.934037,-0.497203
4.936956,-0.495440
4.939874,-0.493673
4.942790,-0.491903
4.945705,-0.490128
4.948619,-0.488349
4.951532,-0.486566
4.954443,-0.484779
4.957353,-0.482988
4.960263,-0.481193
4.963171,-0.479394
4.966078,-0.477591
4.968984,-0.475784
4.971889,-0.473973
4.974793,-0.472158
4.977696,-0.470338
4.980598,-0.468515
4.983500,-0.466688
4.986400,-0.464856
4.989299,-0.463021
4.992198,-0.461181
4.995096,-0.459338
4.997993,-0.457490
5.000889,-0.455639
5.003784,-0.453783
5.006679,-0.451924
5.009573,-0.450060
5.012466,-0.448193
5.015359,-0.446321
5.018251,-0.444445
5.021142,-0.442566
5.024033,-0.440682
5.026923,-0.438794
5.029813,-0.436902
5.032702,-0.435007
5.035591,-0.433107
5.038479,-0.431203
5.041367,-0.429296
5.044254,-0.427384
5.047140,-0.425468
5.050027,-0.423549
5.052913,-0.421625
5.055798,-0.419697
5.058683,-0.417766
5.061568,-0.415830
5.064453,-0.413890
5.067337,-0.411947
5.070221,-0.409999
5.073105,-0.408048
5.075988,-0.406092
5.078871,-0.404133
5.081754,-0.402169
5.084637,-0.400202
5.087520,-0.398231
5.090402,-0.396256
5.093284,-0.394276
5.096167,-0.392293
5.099049,-0.390306
5.101931,-0.388315
5.104812,-0.386321
5.107694,-0.384322
5.110576,-0.382319
5.113458,-0.380312
5.116339,-0.378302
5.119221,-0.376287
5.122103,-0.374269
5.124984,-0.372247
5.127866,-0.370221
5.130748,-0.368191
5.133629,-0.366157
5.136511,-0.364119
5.139393,-0.362077
5.142275,-0.360032
5.145157,-0.357982
5.148040,-0.355929
5.150922,-0.353872
5.153805,-0.351811
5.156687,-0.349746
5.159570,-0.347677
5.162453,-0.345605
5.165336,-0.343529
5.168219,-0.341448
5.171103,-0.339364
5.173987,-0.337277
5.176871,-0.335185
5.179755,-0.333090
5.182639,-0.330990
5.185524,-0.328887
5.188409,-0.326781
5.191294,-0.324670
5.194180,-0.322556
5.197065,-0.320438
5.199951,-0.318316
5.202838,-0.316190
5.205724,-0.314061
5.208611,-0.311927
5.211498,-0.309790
5.214386,-0.307650
5.217273,-0.305505
5.220161,-0.303357
5.223050,-0.301206
5.225939,-0.299050
5.228828,-0.296891
5.231717,-0.294728
5.234607,-0.292561
5.237497,-0.290391
5.240387,-0.288217
5.243278,-0.286039
5.246169,-0.283858
5.249061,-0.281673
5.251953,-0.279484
5.254845,-0.277292
5.257738,-0.275096
5.260630,-0.272896
5.263524,-0.270693
5.266417,-0.268486
5.269311,-0.266275
5.272206,-0.264061
5.275101,-0.261844
5.277996,-0.259622
5.280891,-0.257397
5.283787,-0.255169
5.286683,-0.252937
5.289580,-0.250701
5.292476,-0.248462
5.295374,-0.246219
5.298271,-0.243973
5.301169,-0.241723
5.304068,-0.239470
5.306966,-0.237213
5.309865,-0.234952
5.312764,-0.232688
5.315664,-0.230421
5.318564,-0.228150
5.321464,-0.225875
5.324365,-0.223597
5.327266,-0.221316
5.330167,-0.219031
5.333069,-0.216743
5.335971,-0.214451
5.338873,-0.212156
5.341775,-0.209857
5.344678,-0.207555
5.347581,-0.205249
5.350484,-0.202941
5.353388,-0.200628
5.356291,-0.198312
5.359195,-0.195993
5.362100,-0.193671
5.365004,-0.191345
5.367909,-0.189016
5.370814,-0.186683
5.373719,-0.184347
5.376624,-0.182008
5.379529,-0.179665
5.382435,-0.177319
5.385341,-0.174970
5.388247,-0.172618
5.391153,-0.170262
5.394059,-0.167903
5.396966,-0.165540
5.399872,-0.163175
5.402779,-0.160806
5.405686,-0.158433
5.408592,-0.156058
5.411499,-0.153679
5.414406,-0.151297
5.417313,-0.148912
5.420220,-0.146524
5.423127,-0.144132
5.426034,-0.141738
5.428941,-0.139340
5.431848,-0.136939
5.434755,-0.134535
5.437662,-0.132127
5.440569,-0.129717
5.443475,-0.127303
5.446382,-0.124886
5.449289,-0.122467
5.452195,-0.120044
5.455101,-0.117618
5.458008,-0.115188
5.460914,-0.112756
5.463819,-0.110321
5.466725,-0.107883
5.469630,-0.105441
5.472536,-0.102997
5.475440,-0.100549
5.478345,-0.098099
5.481250,-0.095646
5.484154,-0.093189
5.487057,-0.090730
5.489961,-0.088267
5.492864,-0.085802
5.495767,-0.083334
5.498669,-0.080863
5.501571,-0.078388
5.504473,-0.075911
5.507374,-0.073431
5.510275,-0.070949
5.513175,-0.068463
5.516074,-0.065974
5.518974,-0.063483
5.521872,-0.060988
5.524770,-0.058491
5.527668,-0.055991
5.530565,-0.053488
5.533461,-0.050983
5.536357,-0.048474
5.539252,-0.045963
5.542147,-0.043449
5.545040,-0.040932
5.547933,-0.038413
5.550826,-0.035891
5.553717,-0.033366
5.556608,-0.030838
5.559498,-0.028308
5.562387,-0.025775
5.565276,-0.023239
5.568163,-0.020701
5.571050,-0.018160
5.573936,-0.015616
5.576820,-0.013070
5.579704,-0.010521
5.582587,-0.007969
5.585469,-0.005415
5.588350,-0.002858
5.591230,-0.000299
5.594109,0.002263
5.596987,0.004827
5.599864,0.007394
5.602739,0.009964
5.605614,0.012536
5.608487,0.015110
5.611359,0.017687
5.614230,0.020266
5.617100,0.022848
5.619968,0.025432
5.622835,0.028019
5.625701,0.030608
5.628566,0.033200
5.631429,0.035794
5.634291,0.038390
5.637151,0.040989
5.640011,0.043590
5.642868,0.046193
5.645724,0.048799
5.648579,0.051407
5.651432,0.054017
5.654284,0.056630
5.657134,0.059245
5.659982,0.061862
5.662829,0.064481
5.665675,0.067103
5.668518,0.069726
5.671360,0.072352
5.674200,0.074981
5.677039,0.077611
5.679876,0.080244
5.682711,0.082878
5.685544,0.085515
5.688375,0.088154
5.691205,0.090795
5.694033,0.093438
5.696858,0.096084
5.699682,0.098731
5.702504,0.101380
5.705324,0.104032
5.708142,0.106685
5.710958,0.109341
5.713772,0.111998
5.716584,0.114658
5.719394,0.117319
5.722201,0.119983
5.725007,0.122648
5.727810,0.125315
5.730612,0.127985
5.733411,0.130656
5.736207,0.133329
5.739002,0.136004
5.741794,0.138680
5.744584,0.141359
5.747372,0.144039
5.750157,0.146722
5.752940,0.149406
5.755720,0.152092
5.758498,0.154779
5.761274,0.157469
5.764047,0.160160
5.766818,0.162853
5.769586,0.165547
5.772351,0.168244
5.775114,0.170942
5.777875,0.173641
5.780632,0.176343
5.783388,0.179046
5.786140,0.181751
5.788890,0.184457
5.791637,0.187165
5.794381,0.189875
5.797123,0.192586
5.799862,0.195298
5.802598,0.198013
5.805331,0.200729
5.808061,0.203446
5.810788,0.206165
5.813513,0.208885
5.816235,0.211607
5.818953,0.214331
5.821669,0.217056
5.824382,0.219782
5.827091,0.222510
5.829798,0.225239
5.832502,0.227970
5.835202,0.230702
5.837900,0.233435
5.840594,0.236170
5.843285,0.238906
5.845973,0.241644
5.848658,0.244383
5.851339,0.247123
5.854018,0.249865
5.856693,0.252607
5.859365,0.255352
5.862033,0.258097
5.864698,0.260844
5.867360,0.263592
5.870019,0.266341
5.872674,0.269092
5.875325,0.271843
5.877974,0.274596
5.880618,0.277350
5.883260,0.280106
5.885898,0.282862
5.888532,0.285620
5.891163,0.288378
5.893790,0.291138
5.896413,0.293900
5.899034,0.296662
5.901650,0.299425
5.904263,0.302189
5.906872,0.304955
5.909477,0.307722
5.912079,0.310489
5.914677,0.313258
5.917271,0.316028
5.919862,0.318798
5.922449,0.321570
5.925032,0.324343
5.927611,0.327117
5.930186,0.329892
5.932758,0.332668
5.935326,0.335444
5.937889,0.338222
5.940449,0.341001
5.943005,0.343781
5.945557,0.346561
5.948105,0.349343
5.950649,0.352125
5.953189,0.354909
5.955725,0.357693
5.958257,0.360478
5.960785,0.363264
5.963309,0.366051
5.965829,0.368839
5.968345,0.371628
5.970857,0.374417
5.973364,0.377208
5.975867,0.379999
5.978367,0.382791
5.980862,0.385584
5.983353,0.388378
5.985839,0.391172
5.988322,0.393968
5.990800,0.396764
5.993274,0.399561
5.995743,0.402359
5.998209,0.405157
6.000670,0.407956
6.003126,0.410756
6.005579,0.413557
6.008027,0.416359
6.010471,0.419161
6.012910,0.421964
6.015345,0.424768
6.017776,0.427572
6.020202,0.430378
6.022623,0.433184
6.025041,0.435990
6.027453,0.438798
6.029862,0.441606
6.032266,0.444414
6.034665,0.447224
6.037060,0.450034
6.039450,0.452845
6.041836,0.455657
6.044217,0.458469
6.046594,0.461282
6.048966,0.464095
6.051334,0.466910
6.053697,0.469724
