psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat,psi_d,x_d,y_d
3.283150,0.199926,-5.814271,1.633911,3.283158,-5.813145,1.639556,0.210400,-2.999750,-5.810881,1.627681
3.283222,0.199926,-5.816250,1.633631,3.283230,-5.815123,1.639278,0.210395,-2.999678,-5.812860,1.627399
3.283294,0.199926,-5.818230,1.633351,3.283302,-5.817102,1.638999,0.210389,-2.999606,-5.814838,1.627116
3.283366,0.199926,-5.820209,1.633070,3.283375,-5.819080,1.638720,0.210384,-2.999534,-5.816817,1.626833
3.283439,0.199926,-5.822189,1.632789,3.283447,-5.821059,1.638441,0.210378,-2.999462,-5.818796,1.626550
3.283511,0.199926,-5.824168,1.632508,3.283519,-5.823037,1.638162,0.210373,-2.999390,-5.820775,1.626267
3.283583,0.199926,-5.826147,1.632227,3.283591,-5.825015,1.637883,0.210368,-2.999318,-5.822753,1.625983
3.283655,0.199926,-5.828127,1.631946,3.283663,-5.826994,1.637603,0.210362,-2.999246,-5.824732,1.625700
3.283727,0.199926,-5.830106,1.631664,3.283735,-5.828972,1.637324,0.210357,-2.999173,-5.826711,1.625416
3.283799,0.199926,-5.832086,1.631383,3.283808,-5.830950,1.637044,0.210351,-2.999101,-5.828689,1.625132
3.283872,0.199926,-5.834065,1.631101,3.283880,-5.832928,1.636764,0.210346,-2.999029,-5.830668,1.624848
3.283944,0.199926,-5.836044,1.630819,3.283952,-5.834907,1.636484,0.210341,-2.998957,-5.832647,1.624564
3.284016,0.199926,-5.838023,1.630537,3.284025,-5.836885,1.636204,0.210335,-2.998884,-5.834625,1.624280
3.284089,0.199926,-5.840003,1.630255,3.284097,-5.838863,1.635924,0.210330,-2.998812,-5.836604,1.623996
3.284161,0.199926,-5.841982,1.629973,3.284169,-5.840841,1.635644,0.210325,-2.998739,-5.838582,1.623711
3.284234,0.199926,-5.843961,1.629690,3.284242,-5.842819,1.635363,0.210319,-2.998667,-5.840561,1.623427
3.284306,0.199926,-5.845940,1.629408,3.284314,-5.844797,1.635083,0.210314,-2.998594,-5.842539,1.623142
3.284379,0.199926,-5.847920,1.629125,3.284387,-5.846776,1.634802,0.210309,-2.998522,-5.844518,1.622857
3.284451,0.199926,-5.849899,1.628842,3.284460,-5.848754,1.634521,0.210303,-2.998449,-5.846496,1.622572
3.284524,0.199926,-5.851878,1.628560,3.284532,-5.850732,1.634240,0.210298,-2.998377,-5.848475,1.622287
3.284596,0.199926,-5.853857,1.628276,3.284605,-5.852710,1.633959,0.210293,-2.998304,-5.850453,1.622001
3.284669,0.199926,-5.855836,1.627993,3.284678,-5.854688,1.633677,0.210287,-2.998231,-5.852432,1.621716
3.284742,0.199926,-5.857815,1.627710,3.284750,-5.856666,1.633396,0.210282,-2.998159,-5.854410,1.621430
3.284815,0.199926,-5.859794,1.627426,3.284823,-5.858644,1.633114,0.210277,-2.998086,-5.856388,1.621144
3.284887,0.199926,-5.861773,1.627143,3.284896,-5.860622,1.632832,0.210271,-2.998013,-5.858367,1.620858
3.284960,0.199926,-5.863752,1.626859,3.284969,-5.862600,1.632550,0.210266,-2.997940,-5.860345,1.620572
3.285033,0.199926,-5.865731,1.626575,3.285042,-5.864578,1.632268,0.210261,-2.997867,-5.862323,1.620286
3.285106,0.199926,-5.867710,1.626291,3.285114,-5.866555,1.631986,0.210255,-2.997794,-5.864301,1.620000
3.285179,0.199926,-5.869689,1.626007,3.285187,-5.868533,1.631704,0.210250,-2.997722,-5.866280,1.619713
3.285252,0.199926,-5.871668,1.625722,3.285260,-5.870511,1.631421,0.210245,-2.997649,-5.868258,1.619426
3.285325,0.199926,-5.873647,1.625438,3.285333,-5.872489,1.631139,0.210239,-2.997576,-5.870236,1.619140
3.285398,0.199926,-5.875626,1.625153,3.285406,-5.874467,1.630856,0.210234,-2.997502,-5.872214,1.618853
3.285471,0.199926,-5.877605,1.624868,3.285480,-5.876445,1.630573,0.210229,-2.997429,-5.874192,1.618566
3.285544,0.199926,-5.879584,1.624583,3.285553,-5.878422,1.630290,0.210223,-2.997356,-5.876171,1.618278
3.285617,0.199926,-5.881562,1.624298,3.285626,-5.880400,1.630007,0.210218,-2.997283,-5.878149,1.617991
3.285690,0.199927,-5.883541,1.624013,3.285699,-5.882378,1.629724,0.210213,-2.997210,-5.880127,1.617703
3.285764,0.199927,-5.885520,1.623728,3.285772,-5.884355,1.629440,0.210208,-2.997137,-5.882105,1.617416
3.285837,0.199927,-5.887499,1.623442,3.285846,-5.886333,1.629157,0.210202,-2.997063,-5.884083,1.617128
3.285910,0.199927,-5.889478,1.623157,3.285919,-5.888311,1.628873,0.210197,-2.996990,-5.886061,1.616840
3.285983,0.199927,-5.891456,1.622871,3.285992,-5.890288,1.628589,0.210192,-2.996917,-5.888039,1.616552
3.286057,0.199927,-5.893435,1.622585,3.286066,-5.892266,1.628305,0.210187,-2.996843,-5.890017,1.616264
3.286130,0.199927,-5.895414,1.622299,3.286139,-5.894244,1.628021,0.210181,-2.996770,-5.891995,1.615975
3.286204,0.199927,-5.897392,1.622013,3.286213,-5.896221,1.627736,0.210176,-2.996697,-5.893973,1.615687
3.286277,0.199927,-5.899371,1.621726,3.286286,-5.898199,1.627452,0.210171,-2.996623,-5.895951,1.615398
3.286351,0.199927,-5.901350,1.621440,3.286360,-5.900176,1.627167,0.210165,-2.996550,-5.897929,1.615109
3.286424,0.199927,-5.903328,1.621153,3.286433,-5.902154,1.626883,0.210160,-2.996476,-5.899907,1.614820
3.286498,0.199927,-5.905307,1.620866,3.286507,-5.904131,1.626598,0.210155,-2.996402,-5.901885,1.614531
3.286571,0.199927,-5.907286,1.620579,3.286580,-5.906109,1.626313,0.210150,-2.996329,-5.903862,1.614242
3.286645,0.199927,-5.909264,1.620292,3.286654,-5.908086,1.626028,0.210145,-2.996255,-5.905840,1.613952
3.286719,0.199927,-5.911243,1.620005,3.286728,-5.910064,1.625742,0.210139,-2.996181,-5.907818,1.613663
3.286793,0.199927,-5.913221,1.619718,3.286802,-5.912041,1.625457,0.210134,-2.996108,-5.909796,1.613373
3.286866,0.199927,-5.915200,1.619430,3.286875,-5.914018,1.625171,0.210129,-2.996034,-5.911774,1.613083
3.286940,0.199927,-5.917178,1.619142,3.286949,-5.915996,1.624885,0.210124,-2.995960,-5.913751,1.612793
3.287014,0.199927,-5.919157,1.618855,3.287023,-5.917973,1.624600,0.210118,-2.995886,-5.915729,1.612503
3.287088,0.199927,-5.921135,1.618567,3.287097,-5.919950,1.624314,0.210113,-2.995812,-5.917707,1.612213
3.287162,0.199927,-5.923113,1.618279,3.287171,-5.921928,1.624027,0.210108,-2.995738,-5.919684,1.611922
3.287236,0.199927,-5.925092,1.617990,3.287245,-5.923905,1.623741,0.210103,-2.995664,-5.921662,1.611632
3.287310,0.199927,-5.927070,1.617702,3.287319,-5.925882,1.623455,0.210098,-2.995590,-5.923640,1.611341
3.287384,0.199927,-5.929048,1.617414,3.287393,-5.927859,1.623168,0.210092,-2.995516,-5.925617,1.611050
3.287458,0.199927,-5.931027,1.617125,3.287467,-5.929837,1.622881,0.210087,-2.995442,-5.927595,1.610759
3.287532,0.199927,-5.933005,1.616836,3.287541,-5.931814,1.622594,0.210082,-2.995368,-5.929573,1.610468
3.287606,0.199927,-5.934983,1.616547,3.287615,-5.933791,1.622307,0.210077,-2.995294,-5.931550,1.610177
3.287680,0.199927,-5.936962,1.616258,3.287690,-5.935768,1.622020,0.210072,-2.995220,-5.933528,1.609885
3.287755,0.199927,-5.938940,1.615969,3.287764,-5.937745,1.621733,0.210066,-2.995145,-5.935505,1.609593
3.287829,0.199927,-5.940918,1.615679,3.287838,-5.939722,1.621445,0.210061,-2.995071,-5.937483,1.609302
3.287903,0.199927,-5.942896,1.615390,3.287913,-5.941699,1.621158,0.210056,-2.994997,-5.939460,1.609010
3.287977,0.199927,-5.944874,1.615100,3.287987,-5.943676,1.620870,0.210051,-2.994923,-5.941438,1.608718
3.288052,0.199927,-5.946853,1.614810,3.288061,-5.945653,1.620582,0.210046,-2.994848,-5.943415,1.608426
3.288126,0.199927,-5.948831,1.614521,3.288136,-5.947630,1.620294,0.210041,-2.994774,-5.945392,1.608133
3.288201,0.199927,-5.950809,1.614230,3.288210,-5.949607,1.620006,0.210035,-2.994699,-5.947370,1.607841
3.288275,0.199927,-5.952787,1.613940,3.288285,-5.951584,1.619718,0.210030,-2.994625,-5.949347,1.607548
3.288350,0.199927,-5.954765,1.613650,3.288359,-5.953561,1.619429,0.210025,-2.994550,-5.951324,1.607255
3.288424,0.199927,-5.956743,1.613359,3.288434,-5.955538,1.619141,0.210020,-2.994476,-5.953302,1.606962
3.288499,0.199927,-5.958721,1.613069,3.288509,-5.957515,1.618852,0.210015,-2.994401,-5.955279,1.606669
3.288574,0.199927,-5.960699,1.612778,3.288583,-5.959492,1.618563,0.210010,-2.994326,-5.957256,1.606376
3.288648,0.199927,-5.962677,1.612487,3.288658,-5.961469,1.618274,0.210005,-2.994252,-5.959233,1.606083
3.288723,0.199927,-5.964655,1.612196,3.288733,-5.963446,1.617985,0.209999,-2.994177,-5.961211,1.605789
3.288798,0.199927,-5.966633,1.611904,3.288807,-5.965422,1.617696,0.209994,-2.994102,-5.963188,1.605495
3.288873,0.199927,-5.968611,1.611613,3.288882,-5.967399,1.617406,0.209989,-2.994027,-5.965165,1.605202
3.288947,0.199927,-5.970589,1.611321,3.288957,-5.969376,1.617116,0.209984,-2.993952,-5.967142,1.604908
3.289022,0.199927,-5.972567,1.611030,3.289032,-5.971353,1.616827,0.209979,-2.993878,-5.969119,1.604614
3.289097,0.199928,-5.974545,1.610738,3.289107,-5.973329,1.616537,0.209974,-2.993803,-5.971096,1.604319
3.289172,0.199928,-5.976522,1.610446,3.289182,-5.975306,1.616247,0.209969,-2.993728,-5.973074,1.604025
3.289247,0.199928,-5.978500,1.610154,3.289257,-5.977283,1.615957,0.209964,-2.993653,-5.975051,1.603730
3.289322,0.199928,-5.980478,1.609862,3.289332,-5.979259,1.615666,0.209959,-2.993578,-5.977028,1.603436
3.289397,0.199928,-5.982456,1.609569,3.289407,-5.981236,1.615376,0.209953,-2.993503,-5.979005,1.603141
3.289472,0.199928,-5.984434,1.609277,3.289482,-5.983213,1.615085,0.209948,-2.993427,-5.980982,1.602846
3.289548,0.199928,-5.986411,1.608984,3.289557,-5.985189,1.614794,0.209943,-2.993352,-5.982959,1.602551
3.289623,0.199928,-5.988389,1.608691,3.289633,-5.987166,1.614504,0.209938,-2.993277,-5.984936,1.602255
3.289698,0.199928,-5.990367,1.608398,3.289708,-5.989142,1.614212,0.209933,-2.993202,-5.986913,1.601960
3.289773,0.199928,-5.992344,1.608105,3.289783,-5.991119,1.613921,0.209928,-2.993127,-5.988889,1.601664
3.289849,0.199928,-5.994322,1.607811,3.289859,-5.993095,1.613630,0.209923,-2.993051,-5.990866,1.601368
3.289924,0.199928,-5.996300,1.607518,3.289934,-5.995072,1.613338,0.209918,-2.992976,-5.992843,1.601073
3.289999,0.199928,-5.998277,1.607224,3.290009,-5.997048,1.613047,0.209913,-2.992900,-5.994820,1.600776
3.290075,0.199928,-6.000255,1.606931,3.290085,-5.999025,1.612755,0.209908,-2.992825,-5.996797,1.600480
3.290150,0.199928,-6.002232,1.606637,3.290160,-6.001001,1.612463,0.209903,-2.992750,-5.998774,1.600184
3.290226,0.199928,-6.004210,1.606343,3.290236,-6.002977,1.612171,0.209898,-2.992674,-6.000750,1.599887
3.290301,0.199928,-6.006187,1.606049,3.290311,-6.004954,1.611879,0.209893,-2.992598,-6.002727,1.599591
3.290377,0.199928,-6.008165,1.605754,3.290387,-6.006930,1.611586,0.209887,-2.992523,-6.004704,1.599294
3.290452,0.199928,-6.010142,1.605460,3.290463,-6.008906,1.611294,0.209882,-2.992447,-6.006681,1.598997
3.290528,0.199928,-6.012120,1.605165,3.290538,-6.010883,1.611001,0.209877,-2.992372,-6.008657,1.598700
3.290604,0.199928,-6.014097,1.604870,3.290614,-6.012859,1.610708,0.209872,-2.992296,-6.010634,1.598403
3.290680,0.199928,-6.016075,1.604576,3.290690,-6.014835,1.610416,0.209867,-2.992220,-6.012611,1.598105
3.290755,0.199928,-6.018052,1.604280,3.290766,-6.016811,1.610122,0.209862,-2.992144,-6.014587,1.597808
3.290831,0.199928,-6.020029,1.603985,3.290841,-6.018788,1.609829,0.209857,-2.992069,-6.016564,1.597510
3.290907,0.199928,-6.022007,1.603690,3.290917,-6.020764,1.609536,0.209852,-2.991993,-6.018540,1.597212
3.290983,0.199928,-6.023984,1.603394,3.290993,-6.022740,1.609242,0.209847,-2.991917,-6.020517,1.596914
3.291059,0.199928,-6.025961,1.603099,3.291069,-6.024716,1.608949,0.209842,-2.991841,-6.022493,1.596616
3.291135,0.199928,-6.027939,1.602803,3.291145,-6.026692,1.608655,0.209837,-2.991765,-6.024470,1.596318
3.291211,0.199928,-6.029916,1.602507,3.291221,-6.028668,1.608361,0.209832,-2.991689,-6.026446,1.596019
3.291287,0.199928,-6.031893,1.602211,3.291297,-6.030644,1.608067,0.209827,-2.991613,-6.028423,1.595721
3.291363,0.199928,-6.033870,1.601915,3.291374,-6.032620,1.607772,0.209822,-2.991537,-6.030399,1.595422
3.291439,0.199928,-6.035848,1.601618,3.291450,-6.034596,1.607478,0.209817,-2.991460,-6.032376,1.595123
3.291515,0.199928,-6.037825,1.601322,3.291526,-6.036572,1.607183,0.209812,-2.991384,-6.034352,1.594824
3.291592,0.199928,-6.039802,1.601025,3.291602,-6.038548,1.606889,0.209807,-2.991308,-6.036328,1.594525
3.291668,0.199928,-6.041779,1.600728,3.291678,-6.040524,1.606594,0.209802,-2.991232,-6.038305,1.594226
3.291744,0.199928,-6.043756,1.600431,3.291755,-6.042500,1.606299,0.209797,-2.991155,-6.040281,1.593926
3.291821,0.199928,-6.045733,1.600134,3.291831,-6.044476,1.606004,0.209792,-2.991079,-6.042257,1.593626
