psi_m,x_m,y_m,x_d,psi_d,y_d
19.493434,5.052179,-3.526837,4.953571,-0.127716,-2.933564
19.492717,5.054381,-3.529741,4.956051,-0.127403,-2.933882
19.491971,5.056581,-3.532638,4.958530,-0.127090,-2.934199
19.491195,5.058780,-3.535529,4.961010,-0.126777,-2.934515
19.490389,5.060978,-3.538413,4.963490,-0.126465,-2.934831
19.489554,5.063174,-3.541290,4.965970,-0.126152,-2.935146
19.488689,5.065368,-3.544161,4.968451,-0.125839,-2.935460
19.487795,5.067562,-3.547024,4.970931,-0.125526,-2.935773
19.486872,5.069755,-3.549881,4.973411,-0.125214,-2.936086
19.485921,5.071946,-3.552731,4.975892,-0.124901,-2.936398
19.484940,5.074137,-3.555573,4.978372,-0.124589,-2.936709
19.483931,5.076327,-3.558408,4.980853,-0.124276,-2.937019
19.482894,5.078516,-3.561235,4.983334,-0.123964,-2.937329
19.481828,5.080705,-3.564056,4.985815,-0.123652,-2.937637
19.480734,5.082892,-3.566868,4.988295,-0.123340,-2.937945
19.479612,5.085080,-3.569673,4.990777,-0.123027,-2.938253
19.478463,5.087266,-3.572471,4.993258,-0.122715,-2.938559
19.477286,5.089453,-3.575260,4.995739,-0.122403,-2.938865
19.476081,5.091639,-3.578042,4.998220,-0.122091,-2.939170
19.474849,5.093825,-3.580816,5.000702,-0.121779,-2.939474
19.473590,5.096011,-3.583581,5.003183,-0.121468,-2.939777
19.472305,5.098197,-3.586339,5.005665,-0.121156,-2.940079
19.470993,5.100382,-3.589088,5.008147,-0.120844,-2.940381
19.469654,5.102568,-3.591830,5.010628,-0.120532,-2.940682
19.468289,5.104754,-3.594563,5.013110,-0.120221,-2.940982
19.466898,5.106941,-3.597287,5.015592,-0.119909,-2.941282
19.465481,5.109127,-3.600003,5.018074,-0.119598,-2.941581
19.464038,5.111315,-3.602711,5.020557,-0.119286,-2.941878
19.462570,5.113502,-3.605410,5.023039,-0.118975,-2.942176
19.461078,5.115690,-3.608100,5.025521,-0.118664,-2.942472
19.459560,5.117879,-3.610782,5.028004,-0.118352,-2.942767
19.458019,5.120069,-3.613455,5.030486,-0.118041,-2.943062
19.456453,5.122259,-3.616119,5.032969,-0.117730,-2.943356
19.454863,5.124450,-3.618774,5.035452,-0.117419,-2.943650
19.453250,5.126643,-3.621421,5.037935,-0.117108,-2.943942
19.451613,5.128836,-3.624058,5.040417,-0.116797,-2.944234
19.449954,5.131030,-3.626687,5.042900,-0.116486,-2.944525
19.448272,5.133226,-3.629306,5.045384,-0.116175,-2.944815
19.446567,5.135423,-3.631917,5.047867,-0.115864,-2.945104
19.444841,5.137621,-3.634518,5.050350,-0.115554,-2.945393
19.443092,5.139821,-3.637110,5.052833,-0.115243,-2.945681
19.441322,5.142022,-3.639693,5.055317,-0.114932,-2.945968
19.439531,5.144225,-3.642267,5.057800,-0.114622,-2.946254
19.437719,5.146430,-3.644832,5.060284,-0.114311,-2.946540
19.435886,5.148636,-3.647387,5.062768,-0.114001,-2.946824
19.434033,5.150844,-3.649933,5.065252,-0.113691,-2.947108
19.432159,5.153054,-3.652469,5.067735,-0.113380,-2.947392
19.430266,5.155266,-3.654997,5.070219,-0.113070,-2.947674
19.428353,5.157480,-3.657515,5.072704,-0.112760,-2.947956
19.426421,5.159696,-3.660023,5.075188,-0.112450,-2.948237
19.424469,5.161914,-3.662522,5.077672,-0.112139,-2.948517
19.422499,5.164135,-3.665012,5.080156,-0.111829,-2.948796
19.420511,5.166358,-3.667492,5.082641,-0.111519,-2.949075
19.418504,5.168583,-3.669963,5.085125,-0.111209,-2.949353
19.416479,5.170811,-3.672424,5.087610,-0.110900,-2.949630
19.414436,5.173041,-3.674876,5.090095,-0.110590,-2.949906
19.412376,5.175274,-3.677319,5.092579,-0.110280,-2.950182
19.410299,5.177510,-3.679752,5.095064,-0.109970,-2.950456
19.408205,5.179748,-3.682175,5.097549,-0.109661,-2.950730
19.406094,5.181989,-3.684589,5.100034,-0.109351,-2.951004
19.403967,5.184233,-3.686994,5.102519,-0.109041,-2.951276
19.401824,5.186480,-3.689389,5.105004,-0.108732,-2.951548
19.399665,5.188730,-3.691774,5.107490,-0.108423,-2.951819
19.397490,5.190984,-3.694150,5.109975,-0.108113,-2.952089
19.395300,5.193240,-3.696517,5.112461,-0.107804,-2.952358
19.393094,5.195500,-3.698874,5.114946,-0.107495,-2.952627
19.390874,5.197762,-3.701222,5.117432,-0.107185,-2.952895
19.388639,5.200029,-3.703560,5.119917,-0.106876,-2.953162
19.386390,5.202298,-3.705889,5.122403,-0.106567,-2.953428
19.384126,5.204572,-3.708209,5.124889,-0.106258,-2.953693
19.381849,5.206848,-3.710519,5.127375,-0.105949,-2.953958
19.379558,5.209128,-3.712820,5.129861,-0.105640,-2.954222
19.377253,5.211412,-3.715111,5.132347,-0.105331,-2.954485
19.374935,5.213700,-3.717393,5.134833,-0.105022,-2.954748
19.372605,5.215992,-3.719666,5.137320,-0.104713,-2.955010
19.370261,5.218287,-3.721930,5.139806,-0.104405,-2.955271
19.367905,5.220586,-3.724184,5.142292,-0.104096,-2.955531
19.365537,5.222889,-3.726429,5.144779,-0.103787,-2.955790
19.363156,5.225196,-3.728665,5.147265,-0.103479,-2.956049
19.360764,5.227508,-3.730892,5.149752,-0.103170,-2.956307
19.358360,5.229823,-3.733110,5.152239,-0.102862,-2.956564
19.355945,5.232142,-3.735318,5.154726,-0.102553,-2.956820
19.353519,5.234466,-3.737517,5.157213,-0.102245,-2.957075
19.351081,5.236794,-3.739707,5.159700,-0.101936,-2.957330
19.348632,5.239125,-3.741887,5.162187,-0.101628,-2.957584
19.346173,5.241461,-3.744058,5.164674,-0.101320,-2.957838
19.343704,5.243801,-3.746220,5.167161,-0.101012,-2.958090
19.341224,5.246146,-3.748372,5.169648,-0.100704,-2.958342
19.338734,5.248494,-3.750515,5.172136,-0.100395,-2.958593
19.336234,5.250847,-3.752648,5.174623,-0.100087,-2.958843
19.333725,5.253204,-3.754772,5.177111,-0.099779,-2.959092
19.331206,5.255565,-3.756886,5.179598,-0.099471,-2.959341
19.328678,5.257931,-3.758991,5.182086,-0.099164,-2.959589
19.326140,5.260300,-3.761087,5.184574,-0.098856,-2.959836
19.323594,5.262674,-3.763172,5.187061,-0.098548,-2.960082
19.321039,5.265053,-3.765249,5.189549,-0.098240,-2.960328
19.318475,5.267436,-3.767315,5.192037,-0.097932,-2.960573
19.315902,5.269823,-3.769372,5.194525,-0.097625,-2.960817
19.313322,5.272214,-3.771420,5.197014,-0.097317,-2.961060
19.310733,5.274610,-3.773458,5.199502,-0.097010,-2.961303
19.308137,5.277010,-3.775486,5.201990,-0.096702,-2.961544
19.305533,5.279414,-3.777505,5.204478,-0.096395,-2.961785
19.302921,5.281823,-3.779514,5.206967,-0.096087,-2.962026
19.300302,5.284236,-3.781513,5.209455,-0.095780,-2.962265
19.297677,5.286654,-3.783503,5.211944,-0.095473,-2.962504
19.295045,5.289076,-3.785483,5.214433,-0.095165,-2.962742
