psi_m,x_m,y_m,psi_d,x_d,y_d
2.995885,7.853550,0.555511,-3.130401,5.906752,2.999478
2.996062,7.854819,0.558845,-3.130101,5.904252,2.999450
2.996236,7.856084,0.562180,-3.129801,5.901752,2.999421
2.996405,7.857345,0.565514,-3.129501,5.899252,2.999391
2.996570,7.858601,0.568847,-3.129201,5.896752,2.999360
2.996732,7.859852,0.572180,-3.128901,5.894253,2.999329
2.996889,7.861099,0.575513,-3.128601,5.891753,2.999297
2.997043,7.862342,0.578845,-3.128301,5.889253,2.999264
2.997193,7.863580,0.582177,-3.128000,5.886753,2.999230
2.997340,7.864813,0.585509,-3.127700,5.884253,2.999196
2.997483,7.866042,0.588840,-3.127400,5.881754,2.999161
2.997622,7.867266,0.592171,-3.127100,5.879254,2.999125
2.997758,7.868486,0.595502,-3.126800,5.876754,2.999088
2.997890,7.869701,0.598832,-3.126500,5.874254,2.999051
2.998019,7.870912,0.602162,-3.126199,5.871755,2.999013
2.998144,7.872118,0.605491,-3.125899,5.869255,2.998974
2.998267,7.873319,0.608820,-3.125599,5.866755,2.998935
2.998386,7.874516,0.612149,-3.125299,5.864256,2.998894
2.998501,7.875708,0.615477,-3.124999,5.861756,2.998853
2.998614,7.876896,0.618805,-3.124698,5.859256,2.998811
2.998724,7.878079,0.622133,-3.124398,5.856757,2.998769
2.998830,7.879257,0.625460,-3.124098,5.854257,2.998725
2.998934,7.880431,0.628787,-3.123798,5.851758,2.998681
2.999034,7.881600,0.632113,-3.123497,5.849258,2.998636
2.999132,7.882765,0.635439,-3.123197,5.846758,2.998591
2.999227,7.883925,0.638765,-3.122897,5.844259,2.998544
2.999319,7.885080,0.642090,-3.122597,5.841759,2.998497
2.999408,7.886231,0.645415,-3.122296,5.839260,2.998449
2.999494,7.887377,0.648740,-3.121996,5.836760,2.998401
2.999578,7.888519,0.652064,-3.121696,5.834261,2.998351
2.999660,7.889656,0.655388,-3.121395,5.831761,2.998301
2.999739,7.890788,0.658712,-3.121095,5.829262,2.998250
2.999815,7.891915,0.662035,-3.120795,5.826762,2.998199
2.999889,7.893038,0.665358,-3.120494,5.824263,2.998146
2.999961,7.894157,0.668681,-3.120194,5.821763,2.998093
3.000030,7.895270,0.672003,-3.119894,5.819264,2.998039
3.000098,7.896379,0.675325,-3.119593,5.816764,2.997985
3.000162,7.897484,0.678647,-3.119293,5.814265,2.997929
3.000225,7.898584,0.681968,-3.118992,5.811766,2.997873
3.000286,7.899679,0.685289,-3.118692,5.809266,2.997816
3.000345,7.900769,0.688610,-3.118392,5.806767,2.997759
3.000402,7.901855,0.691930,-3.118091,5.804268,2.997700
3.000456,7.902936,0.695250,-3.117791,5.801768,2.997641
3.000509,7.904012,0.698570,-3.117490,5.799269,2.997581
3.000561,7.905084,0.701889,-3.117190,5.796770,2.997521
3.000610,7.906151,0.705208,-3.116889,5.794271,2.997459
3.000658,7.907214,0.708527,-3.116589,5.791771,2.997397
3.000704,7.908271,0.711846,-3.116288,5.789272,2.997334
3.000749,7.909324,0.715164,-3.115988,5.786773,2.997271
3.000792,7.910373,0.718482,-3.115687,5.784274,2.997206
3.000833,7.911417,0.721800,-3.115387,5.781775,2.997141
3.000874,7.912456,0.725118,-3.115086,5.779276,2.997075
3.000912,7.913490,0.728435,-3.114786,5.776776,2.997009
3.000950,7.914520,0.731752,-3.114485,5.774277,2.996941
3.000986,7.915545,0.735069,-3.114184,5.771778,2.996873
3.001022,7.916565,0.738385,-3.113884,5.769279,2.996804
3.001056,7.917581,0.741701,-3.113583,5.766780,2.996735
3.001089,7.918592,0.745017,-3.113282,5.764281,2.996664
3.001121,7.919598,0.748333,-3.112982,5.761782,2.996593
3.001152,7.920600,0.751649,-3.112681,5.759283,2.996521
3.001182,7.921597,0.754964,-3.112380,5.756784,2.996449
3.001211,7.922590,0.758279,-3.112080,5.754285,2.996375
3.001240,7.923577,0.761594,-3.111779,5.751786,2.996301
3.001268,7.924560,0.764909,-3.111478,5.749288,2.996226
3.001295,7.925539,0.768224,-3.111178,5.746789,2.996151
3.001321,7.926512,0.771538,-3.110877,5.744290,2.996074
3.001347,7.927481,0.774852,-3.110576,5.741791,2.995997
3.001373,7.928446,0.778166,-3.110275,5.739292,2.995919
3.001398,7.929406,0.781480,-3.109975,5.736794,2.995840
3.001423,7.930361,0.784794,-3.109674,5.734295,2.995761
3.001447,7.931311,0.788108,-3.109373,5.731796,2.995681
3.001471,7.932257,0.791421,-3.109072,5.729297,2.995600
3.001495,7.933198,0.794735,-3.108771,5.726799,2.995518
3.001519,7.934134,0.798048,-3.108470,5.724300,2.995436
3.001543,7.935066,0.801361,-3.108169,5.721801,2.995353
3.001566,7.935993,0.804674,-3.107869,5.719303,2.995269
3.001590,7.936916,0.807987,-3.107568,5.716804,2.995184
3.001614,7.937834,0.811300,-3.107267,5.714306,2.995099
3.001638,7.938747,0.814612,-3.106966,5.711807,2.995013
3.001662,7.939655,0.817925,-3.106665,5.709309,2.994926
3.001686,7.940559,0.821238,-3.106364,5.706810,2.994838
3.001711,7.941458,0.824550,-3.106063,5.704312,2.994750
3.001736,7.942353,0.827863,-3.105762,5.701813,2.994660
3.001761,7.943243,0.831175,-3.105461,5.699315,2.994570
3.001787,7.944129,0.834488,-3.105160,5.696817,2.994480
3.001813,7.945009,0.837800,-3.104859,5.694318,2.994388
3.001840,7.945885,0.841112,-3.104558,5.691820,2.994296
3.001868,7.946757,0.844425,-3.104256,5.689322,2.994203
3.001897,7.947624,0.847737,-3.103955,5.686824,2.994109
3.001926,7.948486,0.851049,-3.103654,5.684325,2.994015
3.001956,7.949344,0.854362,-3.103353,5.681827,2.993920
3.001986,7.950197,0.857674,-3.103052,5.679329,2.993824
3.002018,7.951046,0.860986,-3.102751,5.676831,2.993727
3.002051,7.951889,0.864299,-3.102449,5.674333,2.993630
3.002085,7.952729,0.867611,-3.102148,5.671835,2.993531
3.002119,7.953564,0.870924,-3.101847,5.669337,2.993433
3.002155,7.954394,0.874236,-3.101546,5.666839,2.993333
3.002193,7.955219,0.877549,-3.101244,5.664341,2.993232
3.002231,7.956040,0.880862,-3.100943,5.661843,2.993131
3.002271,7.956857,0.884175,-3.100642,5.659345,2.993029
3.002312,7.957669,0.887488,-3.100340,5.656847,2.992926
3.002354,7.958476,0.890801,-3.100039,5.654349,2.992823
3.002398,7.959279,0.894114,-3.099738,5.651851,2.992719
3.002444,7.960077,0.897428,-3.099436,5.649353,2.992614
3.002491,7.960871,0.900741,-3.099135,5.646856,2.992508
3.002540,7.961660,0.904055,-3.098833,5.644358,2.992402
3.002590,7.962445,0.907369,-3.098532,5.641860,2.992294
3.002642,7.963225,0.910683,-3.098230,5.639363,2.992186
3.002696,7.964000,0.913997,-3.097929,5.636865,2.992078
3.002752,7.964771,0.917311,-3.097627,5.634367,2.991968
3.002809,7.965538,0.920626,-3.097326,5.631870,2.991858
3.002869,7.966300,0.923941,-3.097024,5.629372,2.991747
3.002931,7.967057,0.927256,-3.096723,5.626875,2.991635
3.002994,7.967811,0.930571,-3.096421,5.624377,2.991522
3.003060,7.968559,0.933886,-3.096119,5.621880,2.991409
3.003128,7.969303,0.937202,-3.095818,5.619382,2.991295
3.003198,7.970043,0.940518,-3.095516,5.616885,2.991180
3.003270,7.970778,0.943834,-3.095214,5.614388,2.991065
3.003345,7.971509,0.947151,-3.094913,5.611890,2.990949
3.003422,7.972235,0.950468,-3.094611,5.609393,2.990832
3.003501,7.972957,0.953785,-3.094309,5.606896,2.990714
3.003583,7.973674,0.957102,-3.094007,5.604399,2.990595
3.003668,7.974387,0.960420,-3.093705,5.601902,2.990476
3.003755,7.975096,0.963738,-3.093404,5.599405,2.990356
3.003844,7.975800,0.967056,-3.093102,5.596907,2.990235
3.003936,7.976499,0.970375,-3.092800,5.594410,2.990114
3.004031,7.977195,0.973694,-3.092498,5.591913,2.989991
3.004129,7.977886,0.977014,-3.092196,5.589416,2.989868
3.004229,7.978572,0.980334,-3.091894,5.586920,2.989744
3.004333,7.979254,0.983654,-3.091592,5.584423,2.989620
3.004439,7.979932,0.986975,-3.091290,5.581926,2.989494
3.004548,7.980605,0.990296,-3.090988,5.579429,2.989368
3.004660,7.981274,0.993617,-3.090686,5.576932,2.989242
3.004775,7.981939,0.996939,-3.090384,5.574435,2.989114
3.004893,7.982599,1.000262,-3.090082,5.571939,2.988986
3.005015,7.983255,1.003585,-3.089779,5.569442,2.988856
3.005139,7.983907,1.006908,-3.089477,5.566945,2.988727
3.005267,7.984554,1.010232,-3.089175,5.564449,2.988596
3.005398,7.985197,1.013556,-3.088873,5.561952,2.988465
3.005532,7.985836,1.016881,-3.088571,5.559456,2.988333
3.005670,7.986471,1.020206,-3.088268,5.556959,2.988200
3.005811,7.987101,1.023532,-3.087966,5.554463,2.988066
3.005955,7.987727,1.026858,-3.087664,5.551967,2.987932
3.006103,7.988348,1.030185,-3.087361,5.549470,2.987797
3.006254,7.988966,1.033513,-3.087059,5.546974,2.987661
3.006409,7.989579,1.036841,-3.086757,5.544478,2.987524
3.006568,7.990187,1.040169,-3.086454,5.541981,2.987387
3.006730,7.990792,1.043498,-3.086152,5.539485,2.987248
3.006896,7.991392,1.046828,-3.085849,5.536989,2.987110
3.007066,7.991989,1.050158,-3.085547,5.534493,2.986970
3.007239,7.992580,1.053489,-3.085244,5.531997,2.986829
3.007416,7.993168,1.056821,-3.084942,5.529501,2.986688
3.007598,7.993752,1.060153,-3.084639,5.527005,2.986546
3.007783,7.994331,1.063486,-3.084337,5.524509,2.986404
3.007971,7.994906,1.066819,-3.084034,5.522013,2.986260
3.008164,7.995477,1.070153,-3.083731,5.519517,2.986116
3.008361,7.996044,1.073488,-3.083429,5.517021,2.985971
3.008562,7.996607,1.076823,-3.083126,5.514526,2.985825
3.008767,7.997166,1.080159,-3.082823,5.512030,2.985679
3.008976,7.997720,1.083496,-3.082520,5.509534,2.985532
3.009189,7.998270,1.086834,-3.082218,5.507039,2.985384
3.009407,7.998817,1.090172,-3.081915,5.504543,2.985235
3.009628,7.999359,1.093511,-3.081612,5.502048,2.985086
3.009854,7.999897,1.096851,-3.081309,5.499552,2.984935
3.010085,8.000431,1.100191,-3.081006,5.497057,2.984784
3.010319,8.000961,1.103532,-3.080703,5.494561,2.984633
3.010558,8.001487,1.106874,-3.080400,5.492066,2.984480
3.010801,8.002008,1.110217,-3.080097,5.489571,2.984327
3.011049,8.002526,1.113561,-3.079794,5.487075,2.984173
3.011301,8.003040,1.116905,-3.079491,5.484580,2.984018
3.011558,8.003550,1.120250,-3.079188,5.482085,2.983862
3.011819,8.004055,1.123596,-3.078885,5.479590,2.983706
3.012085,8.004557,1.126943,-3.078582,5.477095,2.983549
3.012355,8.005055,1.130290,-3.078278,5.474600,2.983391
3.012630,8.005548,1.133639,-3.077975,5.472105,2.983233
3.012910,8.006038,1.136988,-3.077672,5.469610,2.983073
3.013194,8.006524,1.140338,-3.077369,5.467115,2.982913
3.013483,8.007006,1.143689,-3.077065,5.464620,2.982753
3.013777,8.007484,1.147041,-3.076762,5.462126,2.982591
3.014075,8.007958,1.150394,-3.076459,5.459631,2.982429
3.014379,8.008428,1.153748,-3.076155,5.457136,2.982266
3.014687,8.008894,1.157102,-3.075852,5.454642,2.982102
3.015000,8.009356,1.160458,-3.075548,5.452147,2.981937
3.015317,8.009815,1.163814,-3.075245,5.449652,2.981772
3.015640,8.010269,1.167172,-3.074941,5.447158,2.981606
3.015968,8.010720,1.170530,-3.074638,5.444664,2.981439
3.016300,8.011167,1.173889,-3.074334,5.442169,2.981271
3.016638,8.011609,1.177250,-3.074030,5.439675,2.981103
3.016981,8.012049,1.180611,-3.073727,5.437181,2.980933
3.017328,8.012484,1.183973,-3.073423,5.434686,2.980764
3.017681,8.012915,1.187336,-3.073119,5.432192,2.980593
3.018039,8.013343,1.190700,-3.072816,5.429698,2.980421
3.018401,8.013767,1.194065,-3.072512,5.427204,2.980249
3.018769,8.014187,1.197432,-3.072208,5.424710,2.980076
3.019142,8.014603,1.200799,-3.071904,5.422216,2.979903
3.019520,8.015016,1.204167,-3.071600,5.419722,2.979728
3.019904,8.015425,1.207536,-3.071296,5.417228,2.979553
3.020292,8.015830,1.210907,-3.070992,5.414734,2.979377
3.020686,8.016231,1.214278,-3.070688,5.412241,2.979200
3.021085,8.016629,1.217650,-3.070384,5.409747,2.979023
3.021489,8.017023,1.221024,-3.070080,5.407253,2.978844
3.021899,8.017413,1.224398,-3.069776,5.404760,2.978665
3.022314,8.017799,1.227774,-3.069472,5.402266,2.978486
3.022734,8.018182,1.231151,-3.069168,5.399773,2.978305
3.023159,8.018562,1.234529,-3.068863,5.397279,2.978124
3.023590,8.018937,1.237908,-3.068559,5.394786,2.977942
3.024026,8.019309,1.241288,-3.068255,5.392293,2.977759
3.024467,8.019677,1.244669,-3.067951,5.389799,2.977576
3.024914,8.020042,1.248051,-3.067646,5.387306,2.977391
3.025366,8.020403,1.251434,-3.067342,5.384813,2.977206
3.025824,8.020760,1.254819,-3.067037,5.382320,2.977020
3.026287,8.021114,1.258205,-3.066733,5.379827,2.976834
3.026755,8.021465,1.261591,-3.066428,5.377334,2.976646
3.027229,8.021811,1.264980,-3.066124,5.374841,2.976458
3.027708,8.022155,1.268369,-3.065819,5.372348,2.976269
3.028193,8.022494,1.271759,-3.065515,5.369856,2.976080
3.028683,8.022830,1.275151,-3.065210,5.367363,2.975889
3.029178,8.023163,1.278543,-3.064905,5.364870,2.975698
3.029680,8.023492,1.281937,-3.064601,5.362377,2.975506
3.030186,8.023818,1.285332,-3.064296,5.359885,2.975314
3.030698,8.024140,1.288729,-3.063991,5.357392,2.975120
3.031216,8.024458,1.292126,-3.063686,5.354900,2.974926
3.031739,8.024773,1.295525,-3.063381,5.352408,2.974731
3.032267,8.025085,1.298925,-3.063076,5.349915,2.974535
3.032802,8.025393,1.302326,-3.062771,5.347423,2.974339
3.033341,8.025698,1.305729,-3.062466,5.344931,2.974142
3.033886,8.026000,1.309132,-3.062161,5.342439,2.973944
3.034437,8.026298,1.312537,-3.061856,5.339947,2.973745
3.034993,8.026592,1.315943,-3.061551,5.337454,2.973545
3.035555,8.026883,1.319351,-3.061246,5.334963,2.973345
3.036122,8.027171,1.322760,-3.060941,5.332471,2.973144
3.036695,8.027456,1.326170,-3.060636,5.329979,2.972942
3.037274,8.027737,1.329581,-3.060330,5.327487,2.972740
3.037858,8.028014,1.332993,-3.060025,5.324995,2.972536
3.038447,8.028289,1.336407,-3.059720,5.322504,2.972332
