psi_m,x_m,y_m
9.861462,5.645794,3.366026
9.863847,5.641052,3.364952
9.866240,5.636309,3.363879
9.868642,5.631563,3.362807
9.871052,5.626816,3.361738
9.873472,5.622066,3.360670
9.875899,5.617314,3.359604
9.878336,5.612560,3.358539
9.880782,5.607804,3.357477
9.883236,5.603046,3.356416
9.885700,5.598286,3.355358
9.888173,5.593524,3.354301
9.890655,5.588760,3.353247
9.893147,5.583993,3.352194
9.895648,5.579225,3.351143
9.898159,5.574454,3.350095
9.900679,5.569681,3.349049
9.903209,5.564907,3.348005
9.905749,5.560130,3.346963
9.908299,5.555351,3.345924
9.910859,5.550570,3.344886
9.913429,5.545787,3.343851
9.916009,5.541002,3.342819
9.918600,5.536214,3.341789
9.921200,5.531425,3.340761
9.923812,5.526633,3.339736
9.926433,5.521840,3.338713
9.929066,5.517044,3.337693
9.931709,5.512246,3.336676
9.934363,5.507446,3.335661
9.937028,5.502644,3.334649
9.939703,5.497840,3.333640
9.942390,5.493034,3.332634
9.945088,5.488225,3.331630
9.947797,5.483415,3.330629
9.950518,5.478602,3.329631
9.953249,5.473787,3.328636
9.955993,5.468970,3.327644
9.958748,5.464151,3.326655
9.961514,5.459330,3.325669
9.964292,5.454507,3.324687
9.967082,5.449681,3.323707
9.969884,5.444853,3.322731
9.972697,5.440024,3.321758
9.975523,5.435192,3.320788
9.978361,5.430357,3.319822
9.981211,5.425521,3.318859
9.984073,5.420683,3.317899
9.986948,5.415842,3.316943
9.989835,5.410999,3.315991
