PosXRight,PosYRight,alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2,Absolute Time
-0.185583,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.023355,0.022320,0.022320,3568881939.580373
-0.288675,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.038219,0.036526,0.036526,3568881939.590374
-0.402081,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.059450,0.056816,0.056816,3568881939.600373
-0.515488,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.082805,0.079136,0.079136,3568881939.610373
-0.659841,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.106160,0.101456,0.101456,3568881939.620373
-0.793847,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.135889,0.129867,0.129867,3568881939.630375
-0.938200,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.163486,0.156241,0.156241,3568881939.640376
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.193214,0.184652,0.184652,3568881939.650376
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.660376
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.670375
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.680375
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.690375
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.700377
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.710378
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.720377
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.730376
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.740378
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.750378
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.760377
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.770379
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.780379
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.790379
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.800378
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.810379
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.820379
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.830380
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.840381
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.850380
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.860379
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.870381
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.880381
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.890382
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.900381
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.910381
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.920382
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.930382
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.940382
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.950384
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.960384
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.970382
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.980383
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881939.990383
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.000384
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.010386
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.020385
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.030384
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.040384
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.050385
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.060385
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.070387
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.080387
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.090386
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.100388
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.110387
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.120388
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.130388
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.140389
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.150388
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.160388
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.170390
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.180388
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.190391
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.200389
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.210390
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.220389
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.230390
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.240390
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.250392
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.260391
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.270391
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.280391
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.290391
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.300391
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.310393
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.320393
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.330393
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.340394
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.350393
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.360393
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.370395
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.380394
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.390394
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.400395
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.410394
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.420395
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.430396
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.440397
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.450396
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.460394
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.470397
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.480395
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.490398
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.500399
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.510397
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.520398
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.530397
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.540399
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.550400
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.560397
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.570400
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.580400
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.590399
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.600399
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.610401
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.620402
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.630401
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.640402
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.650401
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.660400
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.670403
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.680402
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.690401
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.700403
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.710403
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.720403
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.730405
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.740405
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.750404
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.760404
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.770404
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.780403
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.790406
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.800406
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.810406
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.820405
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.830405
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.840406
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.850408
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.860408
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.870407
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.880407
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.890408
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.900408
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.910410
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.920409
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.930409
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.940409
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.950409
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.960409
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.970411
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.980411
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881940.990410
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.000411
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.010411
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.020411
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.030413
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.040411
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.050412
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.060410
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.070411
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.080413
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.090415
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.100414
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.110413
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.120413
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.130413
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.140413
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.150416
-1.000000,0.000000,-1.570796,-1.570796,0.300000,0.300000,-0.205941,0.196815,0.196815,3568881941.160416
